domain,state,area_type,digital_access,github_repos,commits,hackathons,projects,learning_hours,offline_work,experience_years,courses_completed,freelance_projects
Business,Telangana,Rural,Low,0,0,0,12,2,2,4,5,0
Business,Uttar Pradesh,Semi-Urban,Medium,0,0,1,3,4,3,1,5,2
Creative Arts,Uttar Pradesh,Urban,High,2,0,0,8,14,6,3,2,2
Creative Arts,Rajasthan,Semi-Urban,High,0,0,0,13,10,2,2,2,1
Skilled Trades,Kerala,Urban,Medium,0,0,0,17,4,27,2,4,2
Data Science,Karnataka,Urban,High,4,102,5,6,21,0,1,1,2
Technology,Madhya Pradesh,Semi-Urban,Medium,6,144,1,5,14,1,3,3,1
Skilled Trades,Gujarat,Rural,Low,0,0,0,9,4,17,0,3,1
Creative Arts,Punjab,Semi-Urban,Medium,2,0,0,11,16,6,1,2,3
Creative Arts,Odisha,Semi-Urban,Medium,1,0,0,11,16,3,5,4,8
Data Science,Madhya Pradesh,Urban,High,1,101,7,9,16,0,1,2,4
Social & Community Work,Kerala,Semi-Urban,Medium,0,0,0,10,7,12,1,3,2
Business,Tamil Nadu,Rural,Low,0,0,1,10,10,3,1,3,2
Technology,Bihar,Semi-Urban,Low,3,157,2,6,9,0,3,0,3
Business,West Bengal,Semi-Urban,Medium,0,0,2,7,9,1,0,1,1
Social & Community Work,Karnataka,Rural,Low,0,0,0,13,9,15,1,3,1
Business,Punjab,Rural,Low,0,0,0,8,13,0,0,1,2
Data Science,Punjab,Urban,High,7,129,3,3,20,0,5,7,0
Data Science,Telangana,Urban,High,4,111,3,6,20,0,0,2,3
Technology,West Bengal,Urban,Medium,9,152,2,1,11,1,3,2,4
Technology,Uttar Pradesh,Urban,Low,11,124,3,2,15,2,5,5,5
Business,Tamil Nadu,Semi-Urban,High,0,0,0,8,6,2,0,5,0
Skilled Trades,Bihar,Rural,Low,0,0,0,16,2,20,3,4,2
Data Science,West Bengal,Semi-Urban,Medium,6,99,5,4,16,0,2,1,2
Technology,Tamil Nadu,Rural,Low,7,154,4,12,21,0,1,3,2
Creative Arts,Gujarat,Rural,Medium,2,0,0,13,13,6,3,2,2
Technology,Telangana,Urban,High,9,154,1,2,12,0,4,1,1
Social & Community Work,Delhi,Urban,High,0,0,0,18,4,12,2,3,7
Technology,Tamil Nadu,Semi-Urban,Medium,8,142,1,4,15,0,1,4,2
Social & Community Work,Tamil Nadu,Urban,High,0,0,0,11,9,17,3,5,3
Social & Community Work,Kerala,Urban,High,0,0,0,14,5,15,1,4,0
Creative Arts,Delhi,Rural,Medium,2,0,0,9,16,4,2,6,1
Creative Arts,Kerala,Urban,High,1,0,0,15,9,4,2,3,3
Business,Bihar,Semi-Urban,Medium,0,0,0,6,15,0,3,1,0
Social & Community Work,Delhi,Urban,High,0,0,0,6,7,9,3,1,2
Business,Tamil Nadu,Rural,Low,0,0,0,6,14,3,3,2,1
Creative Arts,Delhi,Semi-Urban,Medium,0,0,0,10,17,4,1,2,6
Creative Arts,Telangana,Semi-Urban,High,1,0,0,16,20,2,6,2,2
Creative Arts,West Bengal,Semi-Urban,High,0,0,0,16,8,4,0,3,3
Technology,Uttar Pradesh,Rural,Low,11,154,3,8,15,2,6,4,3
Business,Madhya Pradesh,Rural,High,0,0,0,7,9,2,1,1,2
Creative Arts,Rajasthan,Rural,Low,0,0,0,12,9,6,3,4,2
Creative Arts,Rajasthan,Urban,Medium,0,0,0,7,9,4,4,2,3
Social & Community Work,Other,Semi-Urban,Low,0,0,0,15,4,14,2,6,4
Business,Karnataka,Rural,Medium,0,0,3,8,7,3,0,3,4
Technology,Rajasthan,Urban,High,7,158,3,7,13,0,2,5,3
Data Science,Rajasthan,Rural,Low,4,101,4,4,23,0,5,2,2
Data Science,Telangana,Rural,Low,1,117,1,6,14,0,1,0,3
Business,Karnataka,Semi-Urban,Medium,0,0,0,8,7,1,4,7,0
Social & Community Work,Other,Urban,High,0,0,0,8,10,13,3,3,2
Social & Community Work,Maharashtra,Urban,High,0,0,0,11,6,9,1,2,2
Business,Uttar Pradesh,Urban,High,0,0,2,11,12,2,0,4,0
Social & Community Work,Delhi,Semi-Urban,Low,0,0,0,8,12,19,1,1,0
Business,Odisha,Rural,Low,0,0,0,9,9,5,5,1,2
Technology,Rajasthan,Semi-Urban,Medium,5,152,2,7,14,1,2,3,2
